Date : 2024-12-19 18:57:09
Directory : d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin
Total : 241 files,  276020 codes, 109118 comments, 54295 blanks, all 439433 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\views\task                                                                                                                                                                      |          2 |        287 |          0 |         10 |        297 |
| src\views\user                                                                                                                                                                      |          6 |        650 |         32 |         21 |        703 |
| src\views\user\admin                                                                                                                                                                |          2 |        261 |          0 |          8 |        269 |
| src\views\user\faceImport                                                                                                                                                           |          2 |         70 |         32 |          5 |        107 |
| src\views\user\student                                                                                                                                                              |          2 |        319 |          0 |          8 |        327 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                            | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\.env                                                                                             | Properties |          1 |          0 |          1 |          2 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\.eslintrc.js                                                                                     | JavaScript |         17 |          0 |          1 |         18 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\babel.config.js                                                                                  | JavaScript |          5 |          0 |          1 |          6 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\package-lock.json                                                                                | JSON       |     29,106 |          0 |          1 |     29,107 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\package.json                                                                                     | JSON       |         79 |          0 |          1 |         80 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\postcss.config.js                                                                                | JavaScript |          5 |          0 |          1 |          6 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\echarts-en.common.js                                             | JavaScript |     36,277 |     16,691 |      8,124 |     61,092 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\echarts-en.common.min.js                                         | JavaScript |          1 |         18 |          4 |         23 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\echarts-en.js                                                    | JavaScript |     55,724 |     25,218 |     12,939 |     93,881 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\echarts-en.min.js                                                | JavaScript |          1 |         18 |          4 |         23 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\echarts-en.simple.js                                             | JavaScript |     24,272 |     11,956 |      5,547 |     41,775 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\echarts-en.simple.min.js                                         | JavaScript |          1 |         18 |          4 |         23 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\echarts.common.js                                                | JavaScript |     36,335 |     16,691 |      8,124 |     61,150 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\echarts.common.min.js                                            | JavaScript |          1 |         18 |          4 |         23 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\echarts.js                                                       | JavaScript |     55,782 |     25,218 |     12,939 |     93,939 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\echarts.min.js                                                   | JavaScript |          1 |         18 |          4 |         23 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\echarts.simple.js                                                | JavaScript |     24,330 |     11,956 |      5,547 |     41,833 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\echarts.simple.min.js                                            | JavaScript |          1 |         18 |          4 |         23 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\extension\bmap.js                                                | JavaScript |        244 |        113 |         62 |        419 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\extension\bmap.min.js                                            | JavaScript |          1 |         18 |          4 |         23 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\extension\dataTool.js                                            | JavaScript |        240 |        459 |        153 |        852 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\extension\dataTool.min.js                                        | JavaScript |          1 |         18 |          4 |         23 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\theme\dark.js                                                    | JavaScript |        150 |         23 |          3 |        176 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\theme\infographic.js                                             | JavaScript |        184 |         21 |         18 |        223 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\theme\macarons.js                                                | JavaScript |        176 |         21 |         20 |        217 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\theme\roma.js                                                    | JavaScript |         57 |         21 |          8 |         86 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\theme\shine.js                                                   | JavaScript |        141 |         21 |         14 |        176 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\theme\tool\option\area.js                                        | JavaScript |         70 |         18 |          3 |         91 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\theme\tool\option\bar.js                                         | JavaScript |         98 |         18 |          1 |        117 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\theme\tool\option\graph.js                                       | JavaScript |      2,963 |         18 |          1 |      2,982 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\theme\tool\option\map.js                                         | JavaScript |        121 |         19 |          1 |        141 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\theme\tool\option\pie.js                                         | JavaScript |         72 |         18 |          2 |         92 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\theme\tool\option\scatter.js                                     | JavaScript |        182 |         18 |          2 |        202 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\theme\tool\thumb.js                                              | JavaScript |         57 |         18 |          7 |         82 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\echarts\theme\vintage.js                                                 | JavaScript |         27 |         21 |          1 |         49 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\dialogs\image\image.css                                          | CSS        |          1 |          0 |          1 |          2 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\dialogs\image\image.html                                         | HTML       |        100 |         11 |         10 |        121 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\dialogs\image\image.js                                           | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\dialogs\internal.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\dialogs\preview\preview.html                                     | HTML       |         39 |          0 |          2 |         41 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\dialogs\table\edittable.css                                      | CSS        |          1 |          0 |          1 |          2 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\dialogs\table\edittable.html                                     | HTML       |         64 |          0 |          0 |         64 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\dialogs\table\edittable.js                                       | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\dialogs\table\edittd.html                                        | HTML       |         58 |          0 |          3 |         61 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\dialogs\table\edittip.html                                       | HTML       |         32 |          0 |          1 |         33 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\kityformula-plugin\addKityFormulaDialog.js                       | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\kityformula-plugin\defaultFilterFix.js                           | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\kityformula-plugin\getKfContent.js                               | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\kityformula-plugin\kityFormulaDialog.html                        | HTML       |         90 |          2 |         16 |        108 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\kityformula-plugin\kityformula\assets\styles\base.css            | CSS        |          1 |          0 |          1 |          2 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\kityformula-plugin\kityformula\assets\styles\page.css            | CSS        |          1 |          0 |          1 |          2 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\kityformula-plugin\kityformula\assets\styles\scrollbar.css       | CSS        |          1 |          2 |          1 |          4 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\kityformula-plugin\kityformula\assets\styles\ui.css              | CSS        |          1 |          0 |          1 |          2 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\kityformula-plugin\kityformula\assets\theme\default\fui.css      | CSS        |          1 |          0 |          1 |          2 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\kityformula-plugin\kityformula\assets\theme\default\fui.min.css  | CSS        |          1 |          8 |          1 |         10 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\kityformula-plugin\kityformula\js\jquery-1.11.0.min.js           | JavaScript |          3 |          1 |          1 |          5 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\kityformula-plugin\kityformula\js\kity-formula-parser.all.min.js | JavaScript |          1 |          8 |          0 |          9 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\kityformula-plugin\kityformula\js\kity-formula-render.all.js     | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\kityformula-plugin\kityformula\js\kityformula-editor.all.min.js  | JavaScript |          4 |          8 |          0 |         12 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\kityformula-plugin\kityformula\js\kitygraph.all.js               | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\lang\en\en.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\lang\zh-cn\zh-cn.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\themes\default\css\ueditor.css                                   | CSS        |          1 |          0 |          1 |          2 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\themes\default\css\ueditor.min.css                               | CSS        |          1 |          5 |          3 |          9 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\themes\default\dialogbase.css                                    | CSS        |          1 |          0 |          1 |          2 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\themes\iframe.css                                                | CSS        |          1 |          0 |          1 |          2 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\codemirror\codemirror.css                            | CSS        |          1 |          0 |          1 |          2 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\codemirror\codemirror.js                             | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\jquery-1.10.2.js                                     | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\jquery-1.10.2.min.js                                 | JavaScript |          3 |          3 |          1 |          7 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\webuploader\webuploader.css                          | CSS        |          1 |          0 |          1 |          2 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\webuploader\webuploader.custom.js                    | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\webuploader\webuploader.custom.min.js                | JavaScript |          2 |          0 |          0 |          2 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\webuploader\webuploader.flashonly.js                 | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\webuploader\webuploader.flashonly.min.js             | JavaScript |          2 |          0 |          0 |          2 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\webuploader\webuploader.html5only.js                 | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\webuploader\webuploader.html5only.min.js             | JavaScript |          2 |          0 |          0 |          2 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\webuploader\webuploader.js                           | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\webuploader\webuploader.min.js                       | JavaScript |          2 |          0 |          0 |          2 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\webuploader\webuploader.withoutimage.js              | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\webuploader\webuploader.withoutimage.min.js          | JavaScript |          2 |          0 |          0 |          2 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\xss.min.js                                           | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\zeroclipboard\ZeroClipboard.js                       | JavaScript |          1 |          0 |          0 |          1 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\third-party\zeroclipboard\ZeroClipboard.min.js                   | JavaScript |          1 |          8 |          0 |          9 |
| d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin\public\admin\components\ueditor\ueditor.all.js                                                   | JavaScript |          1 |          0 |          1 |          2 |
